alpha_code
USD
EUR
GBP
JPY
CHF
CAD
AUD
CNY
HKD
NZD
SEK
KRW
SGD
NOK
MXN
INR
RUB
ZAR
TRY
BRL
TWD
DKK
PLN
THB
ILS
IDR
CZK
AED
HUF
CLP
SAR
PHP
MYR
COP
RON
PEN
EGP
PKR
VND
BDT
UAH
KES
ARS
MAD
DZD
TND
NGN
UGX
GHS
XOF
XAF
BWP
ZMW
MUR
SCR
MWK
ZWL
SZL
LSL
NAD
BIF
RWF
DJF
SOS
ETB
TZS
UGX
KES
MZN
MGA
ERN
SDG
SSP
SYP
YER
IQD
JOD
LBP
KWD
BHD
QAR
OMR
AED
LYD
TND
DZD
MAD
MRO
XAU
XAG
XPT
XPD
